month,day,hour,GHI,solar_zenith_angle,clearsky_GHI,temperature,relative_humidity
1,19,11,66,32.17,874,26.9,88.54
1,19,11,76,26.41,932,27.1,87.43
1,19,12,111,21.6,973,27.3,85.34
1,19,12,338,18.51,995,27.4,84.84
1,19,13,509,18.05,997,27.4,85.05
1,19,13,348,20.39,981,27.4,84.97
1,19,14,287,24.76,944,27.3,86.54
1,19,14,398,30.28,891,27.1,87.56
1,19,15,375,36.43,819,27.0,89.24
1,19,15,457,42.94,733,26.8,90.2
1,19,16,424,49.67,635,26.6,92.35
1,19,16,392,56.52,524,26.5,92.9
1,19,17,310,63.45,407,26.3,94.76
1,19,17,181,70.43,285,26.1,95.88
1,19,18,100,77.43,166,26.0,95.59
1,19,18,46,84.39,59,25.9,96.16
1,20,6,0,100.84,0,25.0,97.47
1,20,6,0,93.84,0,25.200000000000003,96.42
1,20,7,24,86.60000000000001,33,25.3,97.87
1,20,7,101,79.68,130,25.5,96.71
1,20,8,157,72.68,248,25.700000000000003,97.77
1,20,8,371,65.69,371,25.8,97.19
1,20,9,158,58.73,492,25.9,96.77
1,20,9,450,51.83,606,26.0,96.2
1,20,10,503,45.05,710,26.1,94.76
1,20,10,494,38.44,801,26.3,93.65
1,20,11,579,32.13,877,26.5,91.66
1,20,11,751,26.33,937,26.8,89.98
1,20,12,684,21.47,979,27.0,87.61
1,20,12,813,18.33,1001,27.200000000000003,86.59
1,20,13,1004,17.830000000000002,1004,27.4,84.68
1,20,13,988,20.17,988,27.5,84.18
1,20,14,953,24.56,953,27.6,83.48
1,20,14,899,30.11,899,27.6,83.4
1,20,15,829,36.28,829,27.5,84.15
1,20,15,743,42.81,743,27.4,84.64
1,20,16,644,49.55,644,27.3,86.07000000000001
1,20,16,533,56.41,533,27.200000000000003,86.58
1,20,17,414,63.35,414,27.1,89.02
1,20,17,291,70.34,291,26.9,90.06
1,20,18,170,77.35000000000001,170,26.700000000000003,91.94
1,20,18,62,84.32000000000001,62,26.6,92.48
1,21,6,0,100.94,0,25.4,98.38
1,21,6,0,93.92,0,25.4,98.48
1,21,7,3,86.67,33,25.4,98.79
